feature,mean_importance
81_ExtraTrees_prediction,-0.011402716326147888
49_NeuralNetwork_prediction,-0.005462488210022221
90_DecisionTree_prediction,-0.004878638580227479
64_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.003747871066570219
53_NeuralNetwork_prediction,-0.0035179601177599993
43_ExtraTrees_prediction,-0.00273074722374802
34_RandomForest_prediction,-0.0025764130265222727
32_RandomForest_prediction,-0.002438297361439057
99_LightGBM_GoldenFeatures_SelectedFeatures_prediction,-0.0023231535783310386
102_ExtraTrees_prediction,-0.001732956772303651
14_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0014069644451028874
48_NeuralNetwork_prediction,-0.0009547113593694867
88_NeuralNetwork_prediction,-0.0009499521977654801
96_Xgboost_GoldenFeatures_SelectedFeatures_prediction,-0.0006637782092776101
married_sum_educ,-0.0005120277571614151
73_LightGBM_GoldenFeatures_prediction,-0.00033274589072382896
8_Default_NeuralNetwork_prediction,-0.00023580715396080975
exper,-0.00015468602890673645
57_NearestNeighbors_prediction,-0.0001000233201796652
35_RandomForest_prediction,0.0
58_NearestNeighbors_prediction,0.0
105_DecisionTree_prediction,0.0
2_DecisionTree_prediction,0.0
79_RandomForest_prediction,0.0
3_DecisionTree_prediction,0.0
female_ratio_educ,0.0
91_DecisionTree_prediction,0.0
married_diff_female,0.0
83_ExtraTrees_prediction,0.0
tenure_sum_educ,0.0
95_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
97_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0
100_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
98_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0
72_LightGBM_GoldenFeatures_prediction,0.0
25_LightGBM_GoldenFeatures_prediction,0.0
77_NeuralNetwork_prediction,1.8047973595325394e-05
76_RandomForest_prediction,7.717901504977753e-05
61_NearestNeighbors_prediction,0.00015327759160808086
89_DecisionTree_prediction,0.0004247177144639291
60_NearestNeighbors_prediction,0.0006321067590461694
25_LightGBM_prediction,0.000703389800107912
educ_diff_female,0.0010448081866030634
65_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0011760150542552638
51_NeuralNetwork_prediction,0.0012668269836367818
11_Default_NearestNeighbors_prediction,0.0012974543632145118
52_NeuralNetwork_prediction,0.0013919856816265285
tenure,0.002095364786506937
59_NearestNeighbors_prediction,0.002125072360754743
4_DecisionTree_prediction,0.002686487373564228
104_DecisionTree_prediction,0.0030245015323057565
62_NearestNeighbors_prediction,0.003073903270435774
82_NeuralNetwork_prediction,0.0031291460143298535
38_RandomForest_prediction,0.0036510160846813023
5_Linear_prediction,0.0037563783580920828
44_ExtraTrees_prediction,0.003797884978500177
63_NearestNeighbors_prediction,0.003918868351952609
84_ExtraTrees_prediction,0.004167946924973931
87_ExtraTrees_prediction,0.004588064999863417
93_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.0052806821280930285
54_NeuralNetwork_prediction,0.005510493338470845
94_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.006041568349946713
85_RandomForest_prediction,0.00661889370703943
25_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.009185475477394168
65_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction,0.009978933935522271
41_ExtraTrees_prediction,0.012373789044865524
47_ExtraTrees_prediction,0.013567342253302939
80_ExtraTrees_prediction,0.013846709226577159
69_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.013875895028070762
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.015591608305458315
78_RandomForest_prediction,0.017609721975846804
Ensemble_prediction,0.017694175708944472
92_Xgboost_GoldenFeatures_SelectedFeatures_prediction,0.03136086193603345
37_RandomForest_prediction,0.049439326559117446
101_RandomForest_prediction,0.0873518756006818
